Symbol,DATE,Open Price,Prev Close,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
RELIANCE,23-Dec-2016,1052,1053.35,1068.95,1052,1059.9,1057.3,1059.91,2346414,2486990080.35,67543
RELIANCE,26-Dec-2016,1054.35,1057.3,1066,1044.65,1044.95,1047.45,1056.49,3502299,3700130719.95,45499
RELIANCE,27-Dec-2016,1047.85,1047.45,1067.1,1047,1064.85,1064.7,1056.43,3987142,4212155359.05,35254
RELIANCE,28-Dec-2016,1067.9,1064.7,1069.55,1047.1,1051.15,1049.7,1057.89,2202927,2330463999.05,76376
RELIANCE,29-Dec-2016,1050,1049.7,1068.8,1049.5,1064.05,1065.45,1058.89,2005206,2123298035.3,70952
RELIANCE,30-Dec-2016,1064.8,1065.45,1085,1063.1,1080.7,1082.4,1079.52,3591493,3877071530,71421
RELIANCE,02-Jan-2017,1084,1082.4,1090,1072.35,1086.7,1085.1,1086.63,1622458,1763016191.2,38903
RELIANCE,03-Jan-2017,1089.85,1085.1,1097,1081.1,1089,1089.4,1091.74,1470751,1605682134.95,31291
RELIANCE,04-Jan-2017,1092.9,1089.4,1093,1064.3,1067.15,1067.15,1072.39,2375547,2547513624.1,70540
RELIANCE,05-Jan-2017,1071,1067.15,1079.9,1068.75,1077,1077.4,1077.12,1996483,2150451749.2,84058
RELIANCE,06-Jan-2017,1074.2,1077.4,1085,1073.1,1073.95,1074.95,1078.77,1793427,1934704004.6,66643
RELIANCE,09-Jan-2017,1077,1074.95,1086,1071,1078,1077.7,1079.41,1195257,1290170893.1,37309
RELIANCE,10-Jan-2017,1080,1077.7,1094.4,1080,1088,1089.85,1089.83,2594400,2827464833.9,76596
RELIANCE,11-Jan-2017,1095,1089.85,1095.7,1084,1084.8,1086.05,1087.58,2623211,2852942523.8,58033
RELIANCE,12-Jan-2017,1087,1086.05,1090.35,1079.8,1080.45,1083.3,1084.63,999364,1083937776.15,29486
RELIANCE,13-Jan-2017,1084.55,1083.3,1097.5,1084.55,1089.95,1090.4,1091.91,1653669,1805654452.75,52984
RELIANCE,16-Jan-2017,1089.95,1090.4,1093.95,1073.95,1076.7,1076.25,1078.39,2746005,2961250762.4,59289
RELIANCE,17-Jan-2017,1065,1076.25,1068,1038.5,1040,1041.25,1049.23,8968290,9409827087.05,172984
RELIANCE,18-Jan-2017,1042.6,1041.25,1048,1028.75,1031.95,1032.55,1036.48,3627071,3759369531.25,155581
RELIANCE,19-Jan-2017,1035.15,1032.55,1045.3,1031,1032.45,1033.7,1037.12,3493728,3623411807.5,117616
RELIANCE,20-Jan-2017,1033.95,1033.7,1037.45,1023.9,1025.7,1025.8,1029.42,2008082,2067168053.9,75554
RELIANCE,23-Jan-2017,1021.8,1025.8,1031,1012.8,1018.4,1015.9,1019.37,3133533,3194244708.7,98745
RELIANCE,24-Jan-2017,1017,1015.9,1028.8,1017,1027.9,1027.3,1024.12,2153091,2205027803.65,67115
RELIANCE,25-Jan-2017,1032,1027.3,1032.7,1016.15,1018.05,1017.3,1020.11,5453230,5562884613.9,161600
RELIANCE,27-Jan-2017,1020.25,1017.3,1028.9,1019,1028.15,1025.1,1024.42,4997239,5119264081.75,109980
RELIANCE,30-Jan-2017,1024.95,1025.1,1046.45,1024.8,1044.95,1044.8,1038.36,3583756,3721227069.35,88109
RELIANCE,31-Jan-2017,1046.85,1044.8,1053.8,1040.3,1045,1045.2,1046.18,3457365,3617029514.4,95062
RELIANCE,01-Feb-2017,1046.1,1045.2,1050.9,1035.2,1050,1049.65,1044.86,2585798,2701805550.7,83931
RELIANCE,02-Feb-2017,1050,1049.65,1050.8,1038.25,1045.55,1043.5,1042.22,2079908,2167729582,64859
RELIANCE,03-Feb-2017,1046,1043.5,1050.45,1030.1,1033.45,1033.65,1038.23,3021751,3137286043.85,48459
RELIANCE,06-Feb-2017,1037,1033.65,1044.9,1032.05,1040.7,1041.65,1038.21,2283982,2371255826.45,60273
RELIANCE,07-Feb-2017,1042,1041.65,1042.35,1027.2,1031.95,1030.9,1031.93,2264245,2336537922,67846
RELIANCE,08-Feb-2017,1030.9,1030.9,1038.25,1022,1022.7,1025.15,1027.7,3710094,3812874885.4,96353
RELIANCE,09-Feb-2017,1028,1025.15,1034,1026.8,1032.45,1032.75,1030.58,2254216,2323159365.45,97836
RELIANCE,10-Feb-2017,1035,1032.75,1035.55,1025.55,1030,1030.15,1030.89,2861531,2949922515.35,81923
RELIANCE,13-Feb-2017,1033,1030.15,1034,1022,1030,1029.85,1026.56,1957988,2009983985.2,53352
RELIANCE,14-Feb-2017,1035,1029.85,1052.9,1029.9,1048.1,1049.8,1047.4,4170414,4368108266.7,108276
